url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239480/NA12718.final.cram	923ca8ff7d4cd65fddd28e855e5f173d	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA12718	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239482/NA12775.final.cram	619a0f7c3ca340949c11bb75ec5bbf71	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA12775	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239487/NA12842.final.cram	17471b1faa71859657f4d7ec117b3654	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA12842	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239280/NA07037.final.cram	e09dd0768ed965eb4aa99cf34215902e	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA07037	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239286/NA11829.final.cram	12b36e1b7424b1d43ded8b992005e1c5	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA11829	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239293/NA11918.final.cram	1b0b441e7ddd88fbcf51f504ce434b24	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA11918	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239298/NA11994.final.cram	bdf976648ac0ace01175a08483b5095e	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA11994	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239301/NA12004.final.cram	7815ad0c41183bc19f4237b5f52ce108	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA12004	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239643/NA11932.final.cram	36268dec5521c063b1c394cada30e5d7	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA11932	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239307/NA12144.final.cram	26da6fa57aab5871cdf288f70a5c68e4	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA12144	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239312/NA12249.final.cram	038231d5e30d9f514b512fdad7a333cf	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA12249	Utah residents (CEPH) with Northern and Western European ancestry	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
